Player,Position,Team,Goals,Assists,Points,PlusMinus,PIM
Brandon Pirri,Forward,TOT,14,15,29,-4,30
James van Riemsdyk,Forward,TOR,14,15,29,3,6
Jimmy Hayes,Forward,BOS,13,16,29,-12,60
Antoine Roussel,Forward,DAL,13,16,29,11,123
David Desharnais,Forward,MTL,11,18,29,-6,20
Jared Spurgeon,Defense,MIN,11,18,29,10,14
Nick Bonino,Forward,PIT,9,20,29,13,31
Valeri Nichushkin,Forward,DAL,9,20,29,2,12
Dmitry Orlov,Defense,WSH,8,21,29,8,26
Sven Baertschi,Forward,VAN,15,13,28,-14,14
Oscar Lindberg,Forward,NYR,13,15,28,12,43
Shawn Matthias,Forward,TOT,12,16,28,-17,20
Dustin Brown,Forward,LAK,11,17,28,-5,30
Ryan Callahan,Forward,TBL,10,18,28,-5,45
Hampus Lindholm,Defense,ANA,10,18,28,7,40
Brad Richards,Forward,DET,10,18,28,4,8
Ryan Strome,Forward,NYI,8,20,28,-9,28
Trevor Daley,Defense,TOT,6,22,28,9,34
Cam Fowler,Defense,ANA,5,23,28,-8,27
Dale Weise,Forward,TOT,14,13,27,4,24
Radim Vrbata,Forward,VAN,13,14,27,-30,12
Patrick Maroon,Forward,TOT,12,15,27,-7,88
Erik Johnson,Defense,COL,11,16,27,-19,50
Peter Holland,Forward,TOR,9,18,27,-16,28
Tyler Myers,Defense,WPG,9,18,27,6,72
Mikhail Grigorenko,Forward,COL,6,21,27,2,8
David Pastrnak,Forward,BOS,15,11,26,3,20
Lars Eller,Forward,MTL,13,13,26,-13,28
Darren Helm,Forward,DET,13,13,26,-2,32
Matt Read,Forward,PHI,11,15,26,-5,27
Cody Ceci,Defense,OTT,10,16,26,9,18
Mathew Dumba,Defense,MIN,10,16,26,1,38
Kevin Klein,Defense,NYR,9,17,26,16,19
Niklas Kronwall,Defense,DET,3,23,26,-21,30
Tomas Fleischmann,Forward,TOT,14,11,25,-8,32
Riley Sheahan,Forward,DET,14,11,25,-8,12
Devante Smith-Pelly,Forward,TOT,14,11,25,-3,30
Mark Letestu,Forward,EDM,10,15,25,-21,10
Johnny Boychuk,Defense,NYI,9,16,25,17,31
Brett Connolly,Forward,BOS,9,16,25,-1,20
Mikhail Grabovski,Forward,NYI,9,16,25,3,33
Ryan Murray,Defense,CBJ,4,21,25,-10,40
David Savard,Defense,CBJ,4,21,25,-7,45
Ben Hutton,Defense,VAN,1,24,25,-21,14
Matt Calvert,Forward,CBJ,11,13,24,1,51
Dan Boyle,Defense,NYR,10,14,24,0,30
Joakim Nordstrom,Forward,CAR,10,14,24,1,12
Jordan Martinook,Forward,ARI,9,15,24,-9,18
Brad Boyes,Forward,TOR,8,16,24,-6,12
Zach Bogosian,Defense,BUF,7,17,24,-11,68
Colin Wilson,Forward,NSH,6,18,24,-1,14
Niklas Hjalmarsson,Defense,CHI,2,22,24,13,32
Cal Clutterbuck,Forward,NYI,15,8,23,7,22
Mike Fisher,Forward,NSH,13,10,23,-14,29
Jason Zucker,Forward,MIN,13,10,23,-5,20
Colton Sceviour,Forward,DAL,11,12,23,6,21
Marcus Foligno,Forward,BUF,10,13,23,4,79
Andrej Nestrasil,Forward,CAR,9,14,23,4,8
Nail Yakupov,Forward,EDM,8,15,23,-16,24
Jason Demers,Defense,DAL,7,16,23,16,72
Tom Wilson,Forward,WSH,7,16,23,3,163
Mark Streit,Defense,PHI,6,17,23,-1,18
Justin Braun,Defense,SJS,4,19,23,11,36
Vernon Fiddler,Forward,DAL,12,10,22,5,31
Marian Gaborik,Forward,LAK,12,10,22,-6,20
Lauri Korpikoski,Forward,EDM,10,12,22,-17,10
Alexandre Burrows,Forward,VAN,9,13,22,-13,49
Nikolai Kulemin,Forward,NYI,9,13,22,13,22
Riley Nash,Forward,CAR,9,13,22,-5,18
J.T. Brown,Forward,TBL,8,14,22,16,59
Jaden Schwartz,Forward,STL,8,14,22,8,8
Nick Holden,Defense,COL,6,16,22,-1,24
Noah Hanifin,Defense,CAR,4,18,22,-14,22
John Mitchell,Forward,COL,10,11,21,-7,52
Luke Glendening,Forward,DET,8,13,21,4,46
Matt Moulson,Forward,BUF,8,13,21,-5,16
Alexander Burmistrov,Forward,WPG,7,14,21,-11,32
Scott Laughton,Forward,PHI,7,14,21,-2,34
John-Michael Liles,Defense,TOT,6,15,21,-10,18
Jacob Trouba,Defense,WPG,6,15,21,10,62
Travis Hamonic,Defense,NYI,5,16,21,-5,35
Marco Scandella,Defense,MIN,5,16,21,6,22
Karl Alzner,Defense,WSH,4,17,21,14,26
Johnny Oduya,Defense,DAL,4,17,21,8,26
Andrej Sustr,Defense,TBL,4,17,21,-2,30
Damon Severson,Defense,NJD,1,20,21,-8,32
Brian Boyle,Forward,TBL,13,7,20,-7,57
William Karlsson,Forward,CBJ,9,11,20,-9,6
Viktor Stalberg,Forward,NYR,9,11,20,6,22
Danny DeKeyser,Defense,DET,8,12,20,2,44
Chris Stewart,Forward,ANA,8,12,20,2,73
Chris Tierney,Forward,SJS,7,13,20,-16,20
Alexander Edler,Defense,VAN,6,14,20,-8,46
Curtis Lazar,Forward,OTT,6,14,20,-1,18
Paul Martin,Defense,SJS,3,17,20,13,22
Jaccob Slavin,Defense,CAR,2,18,20,1,8
Torrey Mitchell,Forward,MTL,11,8,19,2,51
Melker Karlsson,Forward,SJS,10,9,19,5,16
Matt Martin,Forward,NYI,10,9,19,2,119
Reid Boucher,Forward,NJD,8,11,19,-13,6
Olli Maatta,Defense,PIT,6,13,19,27,22
David Schlemko,Defense,NJD,6,13,19,-22,16
Daniel Winnik,Forward,TOT,6,13,19,4,38
Ron Hainsey,Defense,CAR,5,14,19,-13,37
John Moore,Defense,NJD,4,15,19,-12,28
Kris Russell,Defense,TOT,4,15,19,-5,10
Jay Bouwmeester,Defense,STL,3,16,19,-4,18
Nathan Beaulieu,Defense,MTL,2,17,19,-6,55
Dennis Wideman,Defense,CGY,2,17,19,-9,30
Paul Byron,Forward,MTL,11,7,18,-9,11
David Jones,Forward,TOT,11,7,18,-7,10
Vincent Lecavalier,Forward,TOT,10,8,18,0,22
Michael Grabner,Forward,TOR,9,9,18,-4,12
Jared McCann,Forward,VAN,9,9,18,-6,32
Mike Santorelli,Forward,ANA,9,9,18,-4,8
Zemgus Girgensons,Forward,BUF,7,11,18,0,20
Jon Marchessault,Forward,TBL,7,11,18,-10,17
Tommy Wingels,Forward,SJS,7,11,18,-10,63
Matt Bartkowski,Defense,VAN,6,12,18,-19,50
Kevan Miller,Defense,BOS,5,13,18,15,53
Micheal Ferland,Forward,CGY,4,14,18,-15,45
Justin Schultz,Defense,TOT,4,14,18,-15,16
Chris Tanev,Defense,VAN,4,14,18,-8,8
Adam Larsson,Defense,NJD,3,15,18,15,77
Patrick Eaves,Forward,DAL,11,6,17,-5,27
Johan Larsson,Forward,BUF,10,7,17,-4,27
